list-card-addr,list-card-price,json_data,list-card-details,list-card-label 2,list-card-variable-text,list-card-link href 2,list-card-link src,json_data,list-card-extra-info,list-card-details 2,list-card-details 3,list-card-label 3,list-card-statusText,j
"205 Franklin St APT 4D, Brooklyn, NY 11222","$2,500/mo",bd,1,ba,Open: Thu. 8am-8pm,https://www.zillow.com/homedetails/205-Franklin-St-APT-4D-Brooklyn-NY-11222/2107039377_zpid/,https://photos.zillowstatic.com/fp/52d32b6934c5dba015730825059c966e-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""205 Franklin St Apt 4d, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""205 Franklin St APT 4D"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.733856,""longitude"":-73.958544},""url"":""https://www.zillow.com/homedetails/205-Franklin-St-APT-4D-Brooklyn-NY-11222/2107039377_zpid/""}",LISTING BY: HIGHLINE RESIDENTIAL,1,--,sqft,#NAME?,Save this home
"197 Freeman St #1H, Brooklyn, NY 11222","$3,625/mo",bds,3,ba,12 hours ago,https://www.zillow.com/homedetails/197-Freeman-St-1H-Brooklyn-NY-11222/2072795396_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""197 Freeman St #1h, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""197 Freeman St #1H"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.734736,""longitude"":-73.953604},""url"":""https://www.zillow.com/homedetails/197-Freeman-St-1H-Brooklyn-NY-11222/2072795396_zpid/""}",LISTING BY: RENTOPIA (917-379-5812),2,--,sqft,#NAME?,Save this home
"268 Franklin St #2LL, Brooklyn, NY 11222","$2,299/mo",bds,2,ba,12 hours ago,https://www.zillow.com/homedetails/268-Franklin-St-2LL-Brooklyn-NY-11222/2072795373_zpid/,https://photos.zillowstatic.com/fp/65d366e1e0dcd9f68fa1742006bbb0bd-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""268 Franklin St #2ll, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""700""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""268 Franklin St #2LL"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.735275,""longitude"":-73.958229},""url"":""https://www.zillow.com/homedetails/268-Franklin-St-2LL-Brooklyn-NY-11222/2072795373_zpid/""}",LISTING BY: CODA REAL ESTATE NYC (646-644-1480),1,700,sqft,#NAME?,Save this home
"192 Greenpoint Ave #2P, Brooklyn, NY 11222","$2,599/mo",bds,2,ba,12 hours ago,https://www.zillow.com/homedetails/192-Greenpoint-Ave-2P-Brooklyn-NY-11222/2072795378_zpid/,https://photos.zillowstatic.com/fp/a22f984132cccb7ce65131fecbe45707-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""192 Greenpoint Ave #2p, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""900""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""192 Greenpoint Ave #2P"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.730143,""longitude"":-73.952602},""url"":""https://www.zillow.com/homedetails/192-Greenpoint-Ave-2P-Brooklyn-NY-11222/2072795378_zpid/""}",LISTING BY: CODA REAL ESTATE NYC (646-644-1480),1,900,sqft,#NAME?,Save this home
"84 Newell St #1R, Brooklyn, NY 11222","$2,900/mo",bds,3,ba,12 hours ago,https://www.zillow.com/homedetails/84-Newell-St-1R-Brooklyn-NY-11222/2072795382_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""84 Newell St #1r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,000""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""84 Newell St #1R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.725384,""longitude"":-73.947417},""url"":""https://www.zillow.com/homedetails/84-Newell-St-1R-Brooklyn-NY-11222/2072795382_zpid/""}",LISTING BY: CODA REAL ESTATE NYC (646-644-1480),2,"1,000",sqft,#NAME?,Save this home
"500 Leonard St, Brooklyn, NY","$3,000+",2 bds,,,Updated yesterday,https://www.zillow.com/b/500-leonard-st-brooklyn-ny-9mdytG/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,,,,,
"208 Huron St APT 4R, Brooklyn, NY 11222","$2,200/mo",bds,2,ba,13 hours ago,https://www.zillow.com/homedetails/208-Huron-St-APT-4R-Brooklyn-NY-11222/2104050914_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""208 Huron St Apt 4r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""208 Huron St APT 4R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.732989,""longitude"":-73.952888},""url"":""https://www.zillow.com/homedetails/208-Huron-St-APT-4R-Brooklyn-NY-11222/2104050914_zpid/""}",LISTING BY: NEXTSTOPNY (212-601-2686),1,--,sqft,#NAME?,Save this home
"231 N Henry St APT 1L, Brooklyn, NY 11222","$3,500/mo",bds,3,ba,13 hours ago,https://www.zillow.com/homedetails/231-N-Henry-St-APT-1L-Brooklyn-NY-11222/2086465166_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""231 N Henry St Apt 1l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""231 N Henry St APT 1L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.727069,""longitude"":-73.944079},""url"":""https://www.zillow.com/homedetails/231-N-Henry-St-APT-1L-Brooklyn-NY-11222/2086465166_zpid/""}",LISTING BY: COMPASS (347-552-7373),2,--,sqft,#NAME?,Save this home
"156 Dupont St, Brooklyn, NY","$2,400+",1 bd,,,Updated yesterday,https://www.zillow.com/b/156-dupont-st-brooklyn-ny-3mMh/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,,,,,
"155 Huron St, Brooklyn, NY","$2,500 ",2 bds,"$2,497 ",3 bds,Updated yesterday,https://www.zillow.com/b/155-huron-st-brooklyn-ny-7j7g/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,,,,,
"168 Bayard St, Brooklyn, NY","$2,400+",3 bds,,,Updated yesterday,https://www.zillow.com/b/168-bayard-st-brooklyn-ny-3pHL/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,,,,,
"92 Diamond St APT 2R, Brooklyn, NY 11222","$2,131/mo",bd,1,ba,1 day ago,https://www.zillow.com/homedetails/92-Diamond-St-APT-2R-Brooklyn-NY-11222/2108426399_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""92 Diamond St Apt 2r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""92 Diamond St APT 2R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.725914,""longitude"":-73.946733},""url"":""https://www.zillow.com/homedetails/92-Diamond-St-APT-2R-Brooklyn-NY-11222/2108426399_zpid/""}",LISTING BY: NATIVE REAL ESTATE LLC (347-348-6137),1,--,sqft,#NAME?,Save this home
"657 Meeker Ave #4-C, Brooklyn, NY 11222","$2,250/mo",bd,1,ba,1 day ago,https://www.zillow.com/homedetails/657-Meeker-Ave-4-C-Brooklyn-NY-11222/2077406535_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""657 Meeker Ave #4-c, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""657 Meeker Ave #4-C"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.722709,""longitude"":-73.940786},""url"":""https://www.zillow.com/homedetails/657-Meeker-Ave-4-C-Brooklyn-NY-11222/2077406535_zpid/""}",LISTING BY: MNS,1,--,sqft,#NAME?,Save this home
"126 Norman Ave APT 2R, Brooklyn, NY 11222","$1,999/mo",bd,1,ba,1 day ago,https://www.zillow.com/homedetails/126-Norman-Ave-APT-2R-Brooklyn-NY-11222/2072821245_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""126 Norman Ave Apt 2r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""126 Norman Ave APT 2R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.72592,""longitude"":-73.949541},""url"":""https://www.zillow.com/homedetails/126-Norman-Ave-APT-2R-Brooklyn-NY-11222/2072821245_zpid/""}","LISTING BY: PROPER REAL ESTATE, LLC (718-389-5833)",1,--,sqft,#NAME?,Save this home
"56 Box St #1M, Brooklyn, NY 11222","$2,799/mo",bds,2,ba,1 day ago,https://www.zillow.com/homedetails/56-Box-St-1M-Brooklyn-NY-11222/2072821294_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""56 Box St #1m, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""56 Box St #1M"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.737176,""longitude"":-73.954258},""url"":""https://www.zillow.com/homedetails/56-Box-St-1M-Brooklyn-NY-11222/2072821294_zpid/""}",LISTING BY: NOOKLYN.COM LLC (914-489-8885),1,--,sqft,#NAME?,Save this home
"551 Meeker Ave #1, Brooklyn, NY 11222","$2,500/mo",bds,2,ba,1 day ago,https://www.zillow.com/homedetails/551-Meeker-Ave-1-Brooklyn-NY-11222/2098764217_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""551 Meeker Ave #1, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""900""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""551 Meeker Ave #1"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.721229,""longitude"":-73.943135},""url"":""https://www.zillow.com/homedetails/551-Meeker-Ave-1-Brooklyn-NY-11222/2098764217_zpid/""}",LISTING BY: OMEGA REALTY OF GREENPOINT (718-349-3007),1,900,sqft,#NAME?,Save this home
"131 Mcguinness Blvd APT 3R, Brooklyn, NY 11222","$2,250/mo",bds,2,ba,1 day ago,https://www.zillow.com/homedetails/131-Mcguinness-Blvd-APT-3R-Brooklyn-NY-11222/2114851726_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""131 Mcguinness Blvd Apt 3r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""800""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""131 Mcguinness Blvd APT 3R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.726802,""longitude"":-73.949795},""url"":""https://www.zillow.com/homedetails/131-Mcguinness-Blvd-APT-3R-Brooklyn-NY-11222/2114851726_zpid/""}",LISTING BY: CODA REAL ESTATE NYC (917-678-7941),1,800,sqft,#NAME?,Save this home
"74 India St APT B3, Brooklyn, NY 11222","$1,800/mo",bd,1,ba,1 day ago,https://www.zillow.com/homedetails/74-India-St-APT-B3-Brooklyn-NY-11222/2086294530_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""74 India St Apt B3, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""74 India St APT B3"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.731938,""longitude"":-73.957659},""url"":""https://www.zillow.com/homedetails/74-India-St-APT-B3-Brooklyn-NY-11222/2086294530_zpid/""}",LISTING BY: SPIRE GROUP (718-350-6438),1,--,sqft,#NAME?,Save this home
"583 Meeker Ave APT 3L, Brooklyn, NY 11222","$2,600/mo",bds,2,ba,1 day ago,https://www.zillow.com/homedetails/583-Meeker-Ave-APT-3L-Brooklyn-NY-11222/2113600543_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""583 Meeker Ave Apt 3l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""583 Meeker Ave APT 3L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.721591,""longitude"":-73.942432},""url"":""https://www.zillow.com/homedetails/583-Meeker-Ave-APT-3L-Brooklyn-NY-11222/2113600543_zpid/""}",LISTING BY: TERRA MAGIA INC,2,--,sqft,#NAME?,Save this home
"131 Newton St APT 3R, Brooklyn, NY 11222","$2,050/mo",bd,1,ba,1 day ago,https://www.zillow.com/homedetails/131-Newton-St-APT-3R-Brooklyn-NY-11222/2072831384_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""131 Newton St Apt 3r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""131 Newton St APT 3R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.720771,""longitude"":-73.946736},""url"":""https://www.zillow.com/homedetails/131-Newton-St-APT-3R-Brooklyn-NY-11222/2072831384_zpid/""}",LISTING BY: NATIVE REAL ESTATE LLC (570-350-5670),1,--,sqft,#NAME?,Save this home
"190 Huron St #3, Brooklyn, NY 11222","$2,400/mo",bd,1,ba,1 day ago,https://www.zillow.com/homedetails/190-Huron-St-3-Brooklyn-NY-11222/2072832498_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""190 Huron St #3, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""700""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""190 Huron St #3"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.732913,""longitude"":-73.953696},""url"":""https://www.zillow.com/homedetails/190-Huron-St-3-Brooklyn-NY-11222/2072832498_zpid/""}",LISTING BY: DREAM SPACE REALTY (917-515-4624),1,700,sqft,#NAME?,Save this home
"570 Manhattan Ave, Brooklyn, NY","$2,749 ",1 bd,"$2,750 ",2 bds,2 days ago,https://www.zillow.com/b/570-manhattan-ave-brooklyn-ny-5vwLw8/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,,,,,
"100 Clay St APT 4, Brooklyn, NY 11222","$1,950/mo",bds,2,ba,2 days ago,https://www.zillow.com/homedetails/100-Clay-St-APT-4-Brooklyn-NY-11222/2072849354_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""100 Clay St Apt 4, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,100""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""100 Clay St APT 4"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.736467,""longitude"":-73.954184},""url"":""https://www.zillow.com/homedetails/100-Clay-St-APT-4-Brooklyn-NY-11222/2072849354_zpid/""}",LISTING BY: MPGL REALTY CORP,1,"1,100",sqft,#NAME?,Save this home
