json_data,list-card-link href,list-card-addr,list-card-extra-info,list-card-price,list-card-details,list-card-label,list-card-details 2,list-card-label 2,list-card-details 3,list-card-label 3,list-card-statusText,list-card-variable-text,list-card-link src,j
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""208 Franklin St Apt 3r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""208 Franklin St APT 3R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.732633,""longitude"":-73.957751},""url"":""https://www.zillow.com/homedetails/208-Franklin-St-APT-3R-Brooklyn-NY-11222/2106544922_zpid/""}",https://www.zillow.com/homedetails/208-Franklin-St-APT-3R-Brooklyn-NY-11222/2106544922_zpid/,"208 Franklin St APT 3R, Brooklyn, NY 11222",LISTING BY: MAE EQUITIES (917-771-7142),"$2,495/mo",2,bds,1,ba,--,sqft,Apartment for rent,8 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""149 Driggs Ave Apt 3l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""149 Driggs Ave APT 3L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.722848,""longitude"":-73.94447},""url"":""https://www.zillow.com/homedetails/149-Driggs-Ave-APT-3L-Brooklyn-NY-11222/2101589748_zpid/""}",https://www.zillow.com/homedetails/149-Driggs-Ave-APT-3L-Brooklyn-NY-11222/2101589748_zpid/,"149 Driggs Ave APT 3L, Brooklyn, NY 11222",LISTING BY: BALIS REALTY CORP. (718-812-2945),"$2,500/mo",1,bd,1,ba,--,sqft,Apartment for rent,9 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
,https://www.zillow.com/b/150-eagle-st-brooklyn-ny-BtNKHj/,"150 Eagle St, Brooklyn, NY",,"$2,850+","$2,850+",1 bd,,2 bds,,,,Updated yesterday,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""123 Driggs Ave #4, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""750""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""123 Driggs Ave #4"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.722937,""longitude"":-73.943448},""url"":""https://www.zillow.com/homedetails/123-Driggs-Ave-4-Brooklyn-NY-11222/2072716202_zpid/""}",https://www.zillow.com/homedetails/123-Driggs-Ave-4-Brooklyn-NY-11222/2072716202_zpid/,"123 Driggs Ave #4, Brooklyn, NY 11222","LISTING BY: DOLORES BUONOCORE, LREB","$2,000/mo",1,bd,1,ba,750,sqft,Apartment for rent,11 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""216 Eagle St #1, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""216 Eagle St #1"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.735263,""longitude"":-73.951674},""url"":""https://www.zillow.com/homedetails/216-Eagle-St-1-Brooklyn-NY-11222/2072716197_zpid/""}",https://www.zillow.com/homedetails/216-Eagle-St-1-Brooklyn-NY-11222/2072716197_zpid/,"216 Eagle St #1, Brooklyn, NY 11222",LISTING BY: HIGHLINE RESIDENTIAL,"$2,200/mo",1,bd,2,ba,--,sqft,Apartment for rent,11 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""162 Eckford St Apt 1l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""700""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""162 Eckford St APT 1L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.725093,""longitude"":-73.94922},""url"":""https://www.zillow.com/homedetails/162-Eckford-St-APT-1L-Brooklyn-NY-11222/2088936311_zpid/""}",https://www.zillow.com/homedetails/162-Eckford-St-APT-1L-Brooklyn-NY-11222/2088936311_zpid/,"162 Eckford St APT 1L, Brooklyn, NY 11222",LISTING BY: PREMIER METRO REALTY CORP (347-633-6791),"$2,299/mo",1,bd,1,ba,700,sqft,Apartment for rent,13 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""112 Calyer St #401, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,000""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""112 Calyer St #401"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.726939,""longitude"":-73.956158},""url"":""https://www.zillow.com/homedetails/112-Calyer-St-401-Brooklyn-NY-11222/2072723253_zpid/""}",https://www.zillow.com/homedetails/112-Calyer-St-401-Brooklyn-NY-11222/2072723253_zpid/,"112 Calyer St #401, Brooklyn, NY 11222",LISTING BY: TRIPLEMINT,"$3,395/mo",2,bds,1,ba,"1,000",sqft,Apartment for rent,14 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""12 Clifford Pl #1r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""750""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""12 Clifford Pl #1R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.726828,""longitude"":-73.955255},""url"":""https://www.zillow.com/homedetails/12-Clifford-Pl-1R-Brooklyn-NY-11222/2072725897_zpid/""}",https://www.zillow.com/homedetails/12-Clifford-Pl-1R-Brooklyn-NY-11222/2072725897_zpid/,"12 Clifford Pl #1R, Brooklyn, NY 11222","LISTING BY: DOLORES BUONOCORE, LREB","$2,789/mo",2,bds,1,ba,750,sqft,Apartment for rent,15 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""117 Calyer St #a, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,295""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""117 Calyer St #A"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.727289,""longitude"":-73.956568},""url"":""https://www.zillow.com/homedetails/117-Calyer-St-A-Brooklyn-NY-11222/30620353_zpid/""}",https://www.zillow.com/homedetails/117-Calyer-St-A-Brooklyn-NY-11222/30620353_zpid/,"117 Calyer St #A, Brooklyn, NY 11222",LISTING BY: NOOKLYN.COM LLC (914-489-8885),"$2,500/mo",1,bd,1,ba,"2,295",sqft,Apartment for rent,15 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""151 Dupont St Apt 3r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""700""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""151 Dupont St APT 3R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.73622,""longitude"":-73.953781},""url"":""https://www.zillow.com/homedetails/151-Dupont-St-APT-3R-Brooklyn-NY-11222/2094744877_zpid/""}",https://www.zillow.com/homedetails/151-Dupont-St-APT-3R-Brooklyn-NY-11222/2094744877_zpid/,"151 Dupont St APT 3R, Brooklyn, NY 11222",LISTING BY: REAL NEW YORK (212-279-1289),"$2,200/mo",2,bds,1,ba,700,sqft,Apartment for rent,Open: Sat. 10am-2pm,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""193 Freeman St #1e, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""193 Freeman St #1E"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.734788,""longitude"":-73.953728},""url"":""https://www.zillow.com/homedetails/193-Freeman-St-1E-Brooklyn-NY-11222/2072752848_zpid/""}",https://www.zillow.com/homedetails/193-Freeman-St-1E-Brooklyn-NY-11222/2072752848_zpid/,"193 Freeman St #1E, Brooklyn, NY 11222",LISTING BY: HSK GROUP INC (917-678-4970),"$3,625/mo",3,bds,2,ba,--,sqft,Apartment for rent,Open: Fri. 8am-7pm,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
,https://www.zillow.com/b/58-newel-st-brooklyn-ny-9WQp9y/,"58 Newel St, Brooklyn, NY",,"$2,850+","$3,295 ",1 bd,,2 bds,,,,Updated yesterday,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""92 Eckford St #2h, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""92 Eckford St #2H"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.722919,""longitude"":-73.948158},""url"":""https://www.zillow.com/homedetails/92-Eckford-St-2H-Brooklyn-NY-11222/2072754945_zpid/""}",https://www.zillow.com/homedetails/92-Eckford-St-2H-Brooklyn-NY-11222/2072754945_zpid/,"92 Eckford St #2H, Brooklyn, NY 11222",LISTING BY: TRIPLEMINT,"$2,295/mo",1,bd,1,ba,--,sqft,Apartment for rent,1 day ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
,https://www.zillow.com/b/181-greenpoint-ave-brooklyn-ny-3mpd/,"181 Greenpoint Ave, Brooklyn, NY",,"$2,350+",,1 bd,,,,,,Updated yesterday,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""100 Greenpoint Ave Apt 2l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""100 Greenpoint Ave APT 2L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.729709,""longitude"":-73.956864},""url"":""https://www.zillow.com/homedetails/100-Greenpoint-Ave-APT-2L-Brooklyn-NY-11222/2072759688_zpid/""}",https://www.zillow.com/homedetails/100-Greenpoint-Ave-APT-2L-Brooklyn-NY-11222/2072759688_zpid/,"100 Greenpoint Ave APT 2L, Brooklyn, NY 11222",LISTING BY: YUP REALTY LLC (831-585-0112),"$2,099/mo",2,bds,1,ba,--,sqft,Apartment for rent,1 day ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""123 Guernsey St, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""525""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""123 Guernsey St"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.725087,""longitude"":-73.953854},""url"":""https://www.zillow.com/homedetails/123-Guernsey-St-Brooklyn-NY-11222/2077948425_zpid/""}",https://www.zillow.com/homedetails/123-Guernsey-St-Brooklyn-NY-11222/2077948425_zpid/,"123 Guernsey St, Brooklyn, NY 11222",LISTING BY: HIGHLINE RESIDENTIAL,"$1,950/mo",1,bd,1,ba,525,sqft,Apartment for rent,1 day ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""77 Clay St #3n, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""77 Clay St #3N"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.736844,""longitude"":-73.954788},""url"":""https://www.zillow.com/homedetails/77-Clay-St-3N-Brooklyn-NY-11222/2072765455_zpid/""}",https://www.zillow.com/homedetails/77-Clay-St-3N-Brooklyn-NY-11222/2072765455_zpid/,"77 Clay St #3N, Brooklyn, NY 11222",LISTING BY: RENTOPIA,"$3,900/mo",4,bds,2,ba,--,sqft,Apartment for rent,Open: Fri. 8am-1:45pm,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
,https://www.zillow.com/b/219-kingsland-ave-brooklyn-ny-3ntm/,"219 Kingsland Ave, Brooklyn, NY",,"$1,725+",,1 bd,,,,,,1 day ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""205 Franklin St Apt 4d, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""205 Franklin St APT 4D"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.733856,""longitude"":-73.958544},""url"":""https://www.zillow.com/homedetails/205-Franklin-St-APT-4D-Brooklyn-NY-11222/2107039377_zpid/""}",https://www.zillow.com/homedetails/205-Franklin-St-APT-4D-Brooklyn-NY-11222/2107039377_zpid/,"205 Franklin St APT 4D, Brooklyn, NY 11222",LISTING BY: HIGHLINE RESIDENTIAL,"$2,500/mo",1,bd,1,ba,--,sqft,Apartment for rent,Open: Fri. 8am-8pm,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""197 Freeman St #1h, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""197 Freeman St #1H"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.734736,""longitude"":-73.953604},""url"":""https://www.zillow.com/homedetails/197-Freeman-St-1H-Brooklyn-NY-11222/2072795396_zpid/""}",https://www.zillow.com/homedetails/197-Freeman-St-1H-Brooklyn-NY-11222/2072795396_zpid/,"197 Freeman St #1H, Brooklyn, NY 11222",LISTING BY: RENTOPIA (917-379-5812),"$3,625/mo",3,bds,2,ba,--,sqft,Apartment for rent,1 day ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""268 Franklin St #2ll, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""700""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""268 Franklin St #2LL"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.735275,""longitude"":-73.958229},""url"":""https://www.zillow.com/homedetails/268-Franklin-St-2LL-Brooklyn-NY-11222/2072795373_zpid/""}",https://www.zillow.com/homedetails/268-Franklin-St-2LL-Brooklyn-NY-11222/2072795373_zpid/,"268 Franklin St #2LL, Brooklyn, NY 11222",LISTING BY: CODA REAL ESTATE NYC (646-644-1480),"$2,299/mo",2,bds,1,ba,700,sqft,Apartment for rent,1 day ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
